"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Alabama,2018,40,455,2,2,0.88,0.44,0.44
States,Alaska,2018,40,X,X,X,X,X,X
States,Arizona,2018,40,183,0,0,0,0,0
States,Arkansas,2018,40,86,1,0,1.16,1.16,0
States,California,2018,40,409,2,1,0.73,0.49,0.24
States,Colorado,2018,40,366,0,0,0,0,0
States,Connecticut,2018,40,383,1,1,0.52,0.26,0.26
States,Delaware,2018,40,147,1,0,0.68,0.68,0
States,Florida,2018,40,X,X,X,X,X,X
States,Georgia,2018,40,752,3,8,1.46,0.4,1.06
States,Hawaii,2018,40,62,2,0,3.23,3.23,0
States,Idaho,2018,40,24,0,0,0,0,0
States,Illinois,2018,40,97,1,2,3.09,1.03,2.06
States,Indiana,2018,40,136,0,1,0.74,0,0.74
States,Iowa,2018,40,180,0,0,0,0,0
States,Kansas,2018,40,62,0,0,0,0,0
States,Kentucky,2018,40,377,1,0,0.27,0.27,0
States,Louisiana,2018,40,243,4,0,1.65,1.65,0
States,Maine,2018,40,41,0,0,0,0,0
States,Maryland,2018,40,148,0,1,0.68,0,0.68
States,Massachusetts,2018,40,426,1,0,0.23,0.23,0
States,Michigan,2018,40,751,0,2,0.27,0,0.27
States,Minnesota,2018,40,344,0,0,0,0,0
States,Mississippi,2018,40,53,0,0,0,0,0
States,Missouri,2018,40,617,3,0,0.49,0.49,0
States,Montana,2018,40,113,1,1,1.77,0.88,0.88
States,Nebraska,2018,40,83,0,0,0,0,0
States,Nevada,2018,40,15,0,0,0,0,0
States,New Hampshire,2018,40,X,X,X,X,X,X
States,New Jersey,2018,40,X,X,X,X,X,X
States,New Mexico,2018,40,184,0,0,0,0,0
States,New York,2018,40,1454,5,2,0.48,0.34,0.14
States,North Carolina,2018,40,213,0,2,0.94,0,0.94
States,North Dakota,2018,40,89,1,0,1.12,1.12,0
States,Ohio,2018,40,1260,5,1,0.48,0.4,0.08
States,Oklahoma,2018,40,212,0,2,0.94,0,0.94
States,Oregon,2018,40,208,3,0,1.44,1.44,0
States,Pennsylvania,2018,40,216,2,0,0.93,0.93,0
States,Rhode Island,2018,40,X,X,X,X,X,X
States,South Carolina,2018,40,240,0,0,0,0,0
States,South Dakota,2018,40,78,0,0,0,0,0
States,Tennessee,2018,40,72,0,1,1.39,0,1.39
States,Texas,2018,40,1223,10,10,1.64,0.82,0.82
States,Utah,2018,40,352,2,0,0.57,0.57,0
States,Vermont,2018,40,37,0,0,0,0,0
States,Virginia,2018,40,224,0,0,0,0,0
States,Washington,2018,40,637,4,1,0.78,0.63,0.16
States,West Virginia,2018,40,446,0,0,0,0,0
States,Wisconsin,2018,40,672,1,0,0.15,0.15,0
States,Wyoming,2018,40,X,X,X,X,X,X
States,Alabama,2018,41,467,5,2,1.5,1.07,0.43
States,Alaska,2018,41,X,X,X,X,X,X
States,Arizona,2018,41,180,1,0,0.56,0.56,0
States,Arkansas,2018,41,135,2,0,1.48,1.48,0
States,California,2018,41,410,4,1,1.22,0.98,0.24
States,Colorado,2018,41,407,2,0,0.49,0.49,0
States,Connecticut,2018,41,412,1,2,0.73,0.24,0.49
States,Delaware,2018,41,149,0,1,0.67,0,0.67
States,Florida,2018,41,X,X,X,X,X,X
States,Georgia,2018,41,814,5,12,2.09,0.61,1.47
States,Hawaii,2018,41,104,4,0,3.85,3.85,0
States,Idaho,2018,41,30,1,0,3.33,3.33,0
States,Illinois,2018,41,203,0,1,0.49,0,0.49
States,Indiana,2018,41,180,1,0,0.56,0.56,0
States,Iowa,2018,41,192,0,0,0,0,0
States,Kansas,2018,41,53,0,0,0,0,0
States,Kentucky,2018,41,384,0,0,0,0,0
States,Louisiana,2018,41,250,2,1,1.2,0.8,0.4
States,Maine,2018,41,35,0,0,0,0,0
States,Maryland,2018,41,143,1,1,1.4,0.7,0.7
States,Massachusetts,2018,41,443,0,0,0,0,0
States,Michigan,2018,41,757,6,1,0.92,0.79,0.13
States,Minnesota,2018,41,409,1,0,0.24,0.24,0
States,Mississippi,2018,41,57,0,0,0,0,0
States,Missouri,2018,41,658,0,0,0,0,0
States,Montana,2018,41,100,1,0,1,1,0
States,Nebraska,2018,41,108,0,0,0,0,0
States,Nevada,2018,41,X,X,X,X,X,X
States,New Hampshire,2018,41,X,X,X,X,X,X
States,New Jersey,2018,41,X,X,X,X,X,X
States,New Mexico,2018,41,270,0,0,0,0,0
States,New York,2018,41,1999,7,1,0.4,0.35,0.05
States,North Carolina,2018,41,288,2,2,1.39,0.69,0.69
States,North Dakota,2018,41,82,0,0,0,0,0
States,Ohio,2018,41,1214,6,4,0.82,0.49,0.33
States,Oklahoma,2018,41,229,1,1,0.87,0.44,0.44
States,Oregon,2018,41,235,2,0,0.85,0.85,0
States,Pennsylvania,2018,41,230,2,1,1.3,0.87,0.43
States,Rhode Island,2018,41,X,X,X,X,X,X
States,South Carolina,2018,41,300,2,0,0.67,0.67,0
States,South Dakota,2018,41,86,1,0,1.16,1.16,0
States,Tennessee,2018,41,82,0,2,2.44,0,2.44
States,Texas,2018,41,1303,12,14,2,0.92,1.07
States,Utah,2018,41,375,3,0,0.8,0.8,0
States,Vermont,2018,41,47,1,0,2.13,2.13,0
States,Virginia,2018,41,265,0,0,0,0,0
States,Washington,2018,41,694,8,5,1.87,1.15,0.72
States,West Virginia,2018,41,457,1,0,0.22,0.22,0
States,Wisconsin,2018,41,850,0,0,0,0,0
States,Wyoming,2018,41,X,X,X,X,X,X
States,Alabama,2018,42,569,6,1,1.23,1.05,0.18
States,Alaska,2018,42,X,X,X,X,X,X
States,Arizona,2018,42,210,0,3,1.43,0,1.43
States,Arkansas,2018,42,120,2,2,3.33,1.67,1.67
States,California,2018,42,457,5,2,1.53,1.09,0.44
States,Colorado,2018,42,440,3,0,0.68,0.68,0
States,Connecticut,2018,42,443,0,0,0,0,0
States,Delaware,2018,42,156,6,0,3.85,3.85,0
States,Florida,2018,42,X,X,X,X,X,X
States,Georgia,2018,42,769,5,7,1.56,0.65,0.91
States,Hawaii,2018,42,92,0,0,0,0,0
States,Idaho,2018,42,46,1,0,2.17,2.17,0
States,Illinois,2018,42,216,0,0,0,0,0
States,Indiana,2018,42,154,0,0,0,0,0
States,Iowa,2018,42,233,0,0,0,0,0
States,Kansas,2018,42,72,0,0,0,0,0
States,Kentucky,2018,42,383,1,1,0.52,0.26,0.26
States,Louisiana,2018,42,271,5,2,2.58,1.85,0.74
States,Maine,2018,42,48,0,0,0,0,0
States,Maryland,2018,42,163,1,0,0.61,0.61,0
States,Massachusetts,2018,42,494,1,0,0.2,0.2,0
States,Michigan,2018,42,858,2,0,0.23,0.23,0
States,Minnesota,2018,42,337,3,1,1.19,0.89,0.3
States,Mississippi,2018,42,56,0,1,1.79,0,1.79
States,Missouri,2018,42,736,3,0,0.41,0.41,0
States,Montana,2018,42,120,0,0,0,0,0
States,Nebraska,2018,42,103,0,0,0,0,0
